"Community","Conductance"
1,0.927185826543705
2,0.941434924658081
3,0.938382475683892
4,0.95488805156149
5,0.941362520425983
6,0.938374311754228
7,0.950383879833533
8,0.93803533044273
9,0.933338276944239
10,0.94636463050181
11,0.936468260591676
12,0.941910203587181
13,0.958501919411055
14,0.939427855551019
15,0.939150450314097
16,0.91269938414531
17,0.946648726564656
18,0.940072997605824
19,0.948164350539158
20,0.942806146682938
21,0.92879445404686
22,0.949674314702338
23,0.928303928304314
24,0.938680443860703
25,0.943469278119224
26,0.94308608521813
27,0.95025807947685
28,0.962999765261804
29,0.931251438257754
30,0.948796668667229
31,0.954251551541686
32,0.94794850765844
33,0.948391025131113
34,0.946524454742966
35,0.951842337964974
36,0.947734905203674
37,0.947970096189526
38,0.961174891950364
39,0.952275443810718
40,0.959452876439054
41,0.94435035460181
42,0.946332959965135
43,0.963495596235049
44,0.955116202164005
45,0.960168981388253
46,0.962581282467508
47,0.95314815756867
48,0.946761404843728
49,0.949420969379567
50,0.937499103693307
51,0.942611475560748
52,0.961470202505076
53,0.921962284276847
54,0.937808921871514
55,0.953324654834274
56,0.962879475165728
57,0.924665971488726
58,0.94562167861262
59,0.949205606454442
60,0.952796040282084
61,0.953383704592412
62,0.948505390196366
63,0.967305734765934
64,0.96632980433293
65,0.953796845842849
66,0.950394371466502
67,0.960558648613209
68,0.958744846607648
69,0.939631184662842
70,0.959013227119274
71,0.964325031594793
72,0.944070870101191
73,0.968038371053168
74,0.948491081814443
75,0.969841862859182
76,0.951099410730498
77,0.941505499173202
78,0.962687585250948
79,0.952992078824811
80,0.946027433854543
81,0.953532613101447
82,0.946913543488147
83,0.952828468571865
84,0.969618694421609
85,0.951311573807157
86,0.962535207061782
87,0.956809741975889
88,0.955869608740805
89,0.945680035274907
90,0.953696370282539
91,0.951568833119666
92,0.950174676364096
93,0.954464838905239
94,0.962687852700182
95,0.955264345502726
96,0.935512681711239
97,0.953203792222819
98,0.963619420762097
99,0.950994934438098
100,0.950008403774495
101,0.958983702547821
102,0.950848539866244
103,0.955493473478394
104,0.961875352272488
105,0.951745157674221
106,0.95326388703984
107,0.960058100423254
108,0.955219766891894
109,0.955754008580582
110,0.962853723911938
111,0.945659893723437
112,0.954409497129696
113,0.953236443897397
114,0.948185791197517
115,0.967810933348732
116,0.963654039726066
117,0.952389986160849
118,0.961716868418944
119,0.960803227939529
120,0.961341250482975
121,0.9732588626269
122,0.954160417205369
123,0.961108130264892
124,0.95588336750083
125,0.969359411890293
126,0.966090163572103
127,0.95298372057224
128,0.952720856227829
129,0.964531733985382
130,0.958320473640791
131,0.953308276357947
132,0.95866897673241
133,0.959208628174226
134,0.957576269493981
135,0.964118144188234
136,0.952393513461345
137,0.967934520207473
138,0.956025748072712
139,0.960566012382562
140,0.963774136583389
141,0.958734018173628
142,0.965342255074603
143,0.965648519404507
144,0.963618576945267
145,0.958898448266852
146,0.963082974200046
147,0.961877413296876
148,0.952626576496744
149,0.964959476139679
150,0.953480063446543
151,0.960587706710349
152,0.957027890647186
153,0.962778428545996
154,0.965815567272327
155,0.966934531585709
156,0.963570834557627
157,0.969709794978834
158,0.96222850003588
159,0.959171315596284
160,0.957289279165504
161,0.96907154874312
162,0.964290538140685
163,0.960389419932895
164,0.942800626900391
165,0.963283651514044
166,0.961688310738998
167,0.961247619776259
168,0.968773294952444
169,0.969482652466517
170,0.958547110337621
171,0.962352341720469
172,0.963847813924833
173,0.961470210735213
174,0.973366915722129
175,0.970821615564716
176,0.964281966341034
177,0.96851529088078
178,0.965303056204627
179,0.967471759282995
180,0.96532005476517
181,0.960319210818666
182,0.959663553758715
183,0.964697484873478
184,0.958332413029837
185,0.96145544865118
186,0.973593912251914
187,0.971116735873566
188,0.963031491843229
189,0.966667241636986
190,0.964628251744603
191,0.968121743765394
192,0.962447641504326
193,0.963828774799006
194,0.962066584867511
195,0.969338335697291
196,0.973102840685343
197,0.969820424464975
198,0.968838335644427
199,0.970868482456584
200,0.960110871235584
201,0.973645757858931
202,0.971143682555952
203,0.96333838974388
204,0.967756082909204
205,0.97295465556945
206,0.963743866543823
207,0.965357760150844
208,0.974640152488562
209,0.967073031857759
210,0.97187155447014
211,0.963193767059588
212,0.967090601278709
213,0.971018392589692
214,0.972751660557745
215,0.967230785462891
216,0.96617459318188
217,0.970822798590701
218,0.973397226428001
219,0.972650759777684
220,0.970387057535663
221,0.971467919134485
222,0.974507146920281
223,0.969320539633466
224,0.964468248944099
225,0.973502070955086
226,0.979586614683132
227,0.968744203087471
228,0.971515924043549
229,0.970876320266754
230,0.968854332426454
231,0.974493195738381
232,0.971198994873246
233,0.974681633496053
234,0.976147787777023
235,0.973392330893346
236,0.973862934004574
237,0.974510774850767
238,0.977002030109151
239,0.975954032431523
240,0.976933617814614
241,0.977407175253365
